id,name,parent_id/id
cwa_cbl_cat.1911000,kattenvoer,cwa_cbl_cat.1910515
cwa_cbl_cat.1911005,droog kattenvoer,cwa_cbl_cat.1911000
cwa_cbl_cat.1911010,nat kattenvoer,cwa_cbl_cat.1911000
cwa_cbl_cat.1911015,snacks voor katten,cwa_cbl_cat.1911000
cwa_cbl_cat.1911500,overig voer,cwa_cbl_cat.1911015
cwa_cbl_cat.1911510,knaagdiervoer,cwa_cbl_cat.1911500
cwa_cbl_cat.1911515,visvoer,cwa_cbl_cat.1911500
cwa_cbl_cat.1911505,vogelvoer,cwa_cbl_cat.1911500
cwa_cbl_cat.1920000,vers dierenvoer,cwa_cbl_cat.1900000
cwa_cbl_cat.1920500,vers dierenvoer,cwa_cbl_cat.1920000
cwa_cbl_cat.1920505,orgaanvlees vers,cwa_cbl_cat.1920500
cwa_cbl_cat.2100000,drogmetica,
cwa_cbl_cat.2110000,houdbare drogmetica,cwa_cbl_cat.2100000
cwa_cbl_cat.2110500,"lichaamsverzorging, medische verzorging",cwa_cbl_cat.2110000
cwa_cbl_cat.2110535,babyverzorging,cwa_cbl_cat.2110500
cwa_cbl_cat.2110550,condooms,cwa_cbl_cat.2110500
cwa_cbl_cat.2111000,periodeverzorging en luiers,cwa_cbl_cat.2110550
cwa_cbl_cat.2111005,"damesverband, inlegkruisjes, tampons",cwa_cbl_cat.2111000
cwa_cbl_cat.2111015,incontinentieproducten,cwa_cbl_cat.2111000
cwa_cbl_cat.2111500,sanitaire papierwaren,cwa_cbl_cat.2111015
cwa_cbl_cat.2111510,keukenrollen,cwa_cbl_cat.2111500
cwa_cbl_cat.2112000,zakdoekjes,cwa_cbl_cat.2111510
cwa_cbl_cat.2112005,"papieren zakdoekjes, tissues",cwa_cbl_cat.2112000
cwa_cbl_cat.2111505,(vochtig) wc-papier,cwa_cbl_cat.2111500
cwa_cbl_cat.2111010,weggooiluiers,cwa_cbl_cat.2111000
cwa_cbl_cat.2110512,dames en herengeuren,cwa_cbl_cat.2110500
cwa_cbl_cat.2110515,decoratieve cosmetica en toebehoren,cwa_cbl_cat.2110500
cwa_cbl_cat.2110511,deodorants,cwa_cbl_cat.2110500
cwa_cbl_cat.2110530,mondverzorging,cwa_cbl_cat.2110500
cwa_cbl_cat.2110513,ontharingsproducten,cwa_cbl_cat.2110500
cwa_cbl_cat.2110525,overige haarverzorgings producten,cwa_cbl_cat.2110500
cwa_cbl_cat.2110540,scheerproducten en toebehoren,cwa_cbl_cat.2110500
cwa_cbl_cat.2110520,shampoo,cwa_cbl_cat.2110500
cwa_cbl_cat.2110505,"toiletzeep, badzeep, doucheschuim",cwa_cbl_cat.2110500
cwa_cbl_cat.2110510,verzorgende cosmetica,cwa_cbl_cat.2110500
cwa_cbl_cat.2110545,"wondartikelen, inhaler",cwa_cbl_cat.2110500
cwa_cbl_cat.2500000,huishoudelijke artikelen,
cwa_cbl_cat.2510000,houdbare huishoudelijke artikelen,cwa_cbl_cat.2500000
cwa_cbl_cat.2511000,huishoudelijke waren en onderhoudsmateriaal,cwa_cbl_cat.2510000
cwa_cbl_cat.2511015,"boterhamzakjes, diepvrieszakjes",cwa_cbl_cat.2511000
cwa_cbl_cat.2511010,huishoudfolie,cwa_cbl_cat.2511000
cwa_cbl_cat.2511040,insectenverdelgers,cwa_cbl_cat.2511000
cwa_cbl_cat.2512000,babyartikelen,cwa_cbl_cat.2511040
cwa_cbl_cat.2512005,"zuigflessen, spenen",cwa_cbl_cat.2512000
cwa_cbl_cat.2512500,panty's/nylons,cwa_cbl_cat.2512005
cwa_cbl_cat.2512505,panty's/nylons,cwa_cbl_cat.2512500
cwa_cbl_cat.2513000,sfeer en verlichting,cwa_cbl_cat.2512505
cwa_cbl_cat.2513020,"aanmaakblokjes, houtskool",cwa_cbl_cat.2513000
cwa_cbl_cat.2513010,batterijen,cwa_cbl_cat.2513000
cwa_cbl_cat.2513005,gloeilampen,cwa_cbl_cat.2513000
cwa_cbl_cat.2513015,"kaarsen, waxinelichtjes",cwa_cbl_cat.2513000
cwa_cbl_cat.2513025,lucifers,cwa_cbl_cat.2513000
cwa_cbl_cat.2511025,koffiefilters,cwa_cbl_cat.2511000
cwa_cbl_cat.2511035,onderhoudsmaterialen / borstelwerk,cwa_cbl_cat.2511000
cwa_cbl_cat.2511005,"vuilniszakken, pedaalemmerzakken",cwa_cbl_cat.2511000
cwa_cbl_cat.2511020,"wasemkapfilters, stofzuigerzakken",cwa_cbl_cat.2511000
cwa_cbl_cat.2511030,wegwerpartikelen,cwa_cbl_cat.2511000
cwa_cbl_cat.1200000,kaas,
cwa_cbl_cat.1220000,kaas (semi-) vers,cwa_cbl_cat.1200000
cwa_cbl_cat.1220500,Nederlandse kaas uitsnij,cwa_cbl_cat.1220000
cwa_cbl_cat.1220505,Nederlandse kaas uitsnij,cwa_cbl_cat.1220500
cwa_cbl_cat.1221000,Nederlandse kaas verpakt,cwa_cbl_cat.1220505
cwa_cbl_cat.1221020,"Nederlandse kaas, verpakt, gesneden en blokjes",cwa_cbl_cat.1221000
cwa_cbl_cat.1221500,buitenlandse specialiteiten uitsnij,cwa_cbl_cat.1221020
cwa_cbl_cat.1221505,buitenlandse specialiteiten uitsnij,cwa_cbl_cat.1221500
cwa_cbl_cat.1222000,buitenlandse specialiteiten verpakt,cwa_cbl_cat.1221505
cwa_cbl_cat.1222005,"buitenlandse specialiteiten, verpakt",cwa_cbl_cat.1222000
cwa_cbl_cat.1222500,overige soorten verpakte kaas,cwa_cbl_cat.1222005
cwa_cbl_cat.1222505,geraspte kaas verpakt,cwa_cbl_cat.1222500
cwa_cbl_cat.1222515,smeerkaas / kaasspread/ dippers,cwa_cbl_cat.1222500
cwa_cbl_cat.1221005,Nederlandse kaas verpakt ongesneden,cwa_cbl_cat.1221000
cwa_cbl_cat.2300000,kantoorbenodigdheden en wenskaarten,
cwa_cbl_cat.2310500,kantoorbenodigdheden,cwa_cbl_cat.2300000
cwa_cbl_cat.2310510,bureau accessoires,cwa_cbl_cat.2310500
cwa_cbl_cat.2310525,enveloppen,cwa_cbl_cat.2310500
cwa_cbl_cat.2310530,"kadopapier, feestartikelen, decoraties",cwa_cbl_cat.2310500
cwa_cbl_cat.2311000,wenskaarten,cwa_cbl_cat.2310530
cwa_cbl_cat.2311005,wenskaarten,cwa_cbl_cat.2311000
cwa_cbl_cat.2310520,"schrijfblokken, multo-papier, schriften",cwa_cbl_cat.2310500
cwa_cbl_cat.2310505,schrijfwaren,cwa_cbl_cat.2310500
cwa_cbl_cat.1000000,kruidenierswaren,
cwa_cbl_cat.1010000,houdbare kruidenierswaren,cwa_cbl_cat.1000000
cwa_cbl_cat.1010500,"koffie, cacao, thee",cwa_cbl_cat.1010000
cwa_cbl_cat.1010525,anijsblokjes,cwa_cbl_cat.1010500
cwa_cbl_cat.1010520,cacao,cwa_cbl_cat.1010500
cwa_cbl_cat.1010505,koffie,cwa_cbl_cat.1010500
cwa_cbl_cat.1010506,koffiepads,cwa_cbl_cat.1010500
cwa_cbl_cat.1010515,koffiestroop,cwa_cbl_cat.1010500
cwa_cbl_cat.1010512,new instant oploskoffie,cwa_cbl_cat.1010500
cwa_cbl_cat.1010510,oploskoffie,cwa_cbl_cat.1010500
cwa_cbl_cat.1010530,thee,cwa_cbl_cat.1010500
cwa_cbl_cat.1011000,"houdbare koffiemelk, houdbare koffieroom",cwa_cbl_cat.1010530
cwa_cbl_cat.1011010,"koffiecreamer, melkpoeder",cwa_cbl_cat.1011000
cwa_cbl_cat.1011500,suiker,cwa_cbl_cat.1011010
cwa_cbl_cat.1011505,kristalsuiker,cwa_cbl_cat.1011500
cwa_cbl_cat.1011510,overige suiker,cwa_cbl_cat.1011500
cwa_cbl_cat.1011520,"suikerstroop, schenkstroop",cwa_cbl_cat.1011500
cwa_cbl_cat.1012000,rijst en deegwaren HB,cwa_cbl_cat.1011520
cwa_cbl_cat.1012010,deegwaren,cwa_cbl_cat.1012000
cwa_cbl_cat.1012500,ontbijtproducten,cwa_cbl_cat.1012010
cwa_cbl_cat.1012510,cornflakes,cwa_cbl_cat.1012500
cwa_cbl_cat.1012505,geplette graanproducten,cwa_cbl_cat.1012500
cwa_cbl_cat.1012515,muesli,cwa_cbl_cat.1012500
cwa_cbl_cat.1013000,bakproducten en dessertingrediÃ«nten,cwa_cbl_cat.1012515
cwa_cbl_cat.1013025,bindmiddelen,cwa_cbl_cat.1013000
cwa_cbl_cat.1013005,bloem en toebereide bloem,cwa_cbl_cat.1013000
cwa_cbl_cat.1013020,broodmixen,cwa_cbl_cat.1013000
cwa_cbl_cat.1013030,diverse bakbenodigdheden,cwa_cbl_cat.1013000
cwa_cbl_cat.1013065,"gedroogde vruchten, gedroogde zuidvruchten",cwa_cbl_cat.1013000
cwa_cbl_cat.1013500,"soepen, bouillons",cwa_cbl_cat.1013065
cwa_cbl_cat.1013520,bouillons droog,cwa_cbl_cat.1013500
cwa_cbl_cat.1013522,bouillons nat,cwa_cbl_cat.1013500
cwa_cbl_cat.1013535,smaakversterkers voor soep,cwa_cbl_cat.1013500
cwa_cbl_cat.1014000,"sauzen, mixen",cwa_cbl_cat.1013535
cwa_cbl_cat.1014045,azijn,cwa_cbl_cat.1014000
cwa_cbl_cat.1014040,olien,cwa_cbl_cat.1014000
cwa_cbl_cat.1014035,slaversierders (droog en nat),cwa_cbl_cat.1014000
cwa_cbl_cat.1014025,smaakmakers compleet droog warm en koud,cwa_cbl_cat.1014000
cwa_cbl_cat.1014030,smaakmakers compleet droog warm en koud overig,cwa_cbl_cat.1014000
cwa_cbl_cat.1014005,smaakmakers component droog koud,cwa_cbl_cat.1014000
cwa_cbl_cat.1014010,smaakmakers component droog warm,cwa_cbl_cat.1014000
cwa_cbl_cat.1014015,smaakmakers component nat koud,cwa_cbl_cat.1014000
cwa_cbl_cat.1014020,smaakmakers component  nat warm,cwa_cbl_cat.1014000
cwa_cbl_cat.1014050,zuren,cwa_cbl_cat.1014000
cwa_cbl_cat.1014500,"reformproducten, dieetproducten",cwa_cbl_cat.1014050
cwa_cbl_cat.1014510,dieetproducten,cwa_cbl_cat.1014500
cwa_cbl_cat.1015000,"babyvoeding, kindervoeding",cwa_cbl_cat.1014510
cwa_cbl_cat.1015010,"formulevoeding, granenvoeding",cwa_cbl_cat.1015000
cwa_cbl_cat.1015005,"kinderkoek, kinderbiscuit",cwa_cbl_cat.1015000
cwa_cbl_cat.1015015,"kindermaaltijden, happen nat",cwa_cbl_cat.1015000
cwa_cbl_cat.1015020,"kindersiropen, dranken",cwa_cbl_cat.1015000
cwa_cbl_cat.1015500,boterhambeleg,cwa_cbl_cat.1015020
cwa_cbl_cat.1015510,boterhamsmeersels,cwa_cbl_cat.1015500
cwa_cbl_cat.1015520,boterhamstrooisels,cwa_cbl_cat.1015500
cwa_cbl_cat.1015525,cocosbrood,cwa_cbl_cat.1015500
cwa_cbl_cat.1016000,"koek, koekjes, banketstuksartikelen",cwa_cbl_cat.1015525
cwa_cbl_cat.1016015,"banket stuksartikelen, cake",cwa_cbl_cat.1016000
cwa_cbl_cat.1016010,"koekjes, wafels en biscuits",cwa_cbl_cat.1016000
cwa_cbl_cat.1016020,seizoensartikelen koek(jes),cwa_cbl_cat.1016000
cwa_cbl_cat.1016025,tussendoor koek,cwa_cbl_cat.1016000
cwa_cbl_cat.1016100,chocolade en chocoladeproducten,cwa_cbl_cat.1016025
cwa_cbl_cat.1016115,candybars,cwa_cbl_cat.1016100
cwa_cbl_cat.1016105,"chocoladeproducten, bonbons, bite sizes",cwa_cbl_cat.1016100
cwa_cbl_cat.1016110,chocoladerepen en tabletten,cwa_cbl_cat.1016100
cwa_cbl_cat.1016120,seizoensartikelen chocolade,cwa_cbl_cat.1016100
cwa_cbl_cat.1016200,snoep en zoetwaren,cwa_cbl_cat.1016120
cwa_cbl_cat.1016215,"drop, hoestartikelen",cwa_cbl_cat.1016200
cwa_cbl_cat.1016210,kauwgom,cwa_cbl_cat.1016200
cwa_cbl_cat.1016220,seizoenartikelen snoep,cwa_cbl_cat.1016200
cwa_cbl_cat.1016500,"zoutjes, onderleggers, notenbarproducten",cwa_cbl_cat.1016220
cwa_cbl_cat.1016505,chips,cwa_cbl_cat.1016500
cwa_cbl_cat.1016515,cocktailsnacks,cwa_cbl_cat.1016500
cwa_cbl_cat.1016530,"melba toast, toastjes, crackers, cups",cwa_cbl_cat.1016500
cwa_cbl_cat.1017000,bieren,cwa_cbl_cat.1016530
cwa_cbl_cat.1017005,"alcoholvrij, alcoholarm bier",cwa_cbl_cat.1017000
cwa_cbl_cat.1017010,pilseners,cwa_cbl_cat.1017000
cwa_cbl_cat.1017015,speciaalbieren,cwa_cbl_cat.1017000
cwa_cbl_cat.1017500,wijnen en aperitieven,cwa_cbl_cat.1017015
cwa_cbl_cat.1017531,mixdranken,cwa_cbl_cat.1017500
cwa_cbl_cat.1018000,niet alcoholhoudende dranken,cwa_cbl_cat.1017531
cwa_cbl_cat.1018002,cola,cwa_cbl_cat.1018000
cwa_cbl_cat.1018025,"C-siropen, geconcentreerd vruchtensap",cwa_cbl_cat.1018000
cwa_cbl_cat.1018004,"lemon, lime",cwa_cbl_cat.1018000
cwa_cbl_cat.1018010,mineraal- en bronwaters,cwa_cbl_cat.1018000
cwa_cbl_cat.1018005,overige frisdranken,cwa_cbl_cat.1018000
