id,name
1321500,verse groenten
1321505,groenten onbewerkt
1321510,"komkommer, uien, knoflook, champignons, paprika's"
1321515,verse kruiden en kruiden op nat
1321520,bewerkte groenten
1321525,gemengde verse groenten
1321530,"tahoe, tempeh, tofu"
1321535,"olijven, pommodori, pepperoni"
1322000,vers fruit
1322005,hard fruit
1322010,zacht fruit
1322015,citrusvruchten
1322020,exoten
1322025,bessen
1322030,fruitmanden
1322035,verse noten
1322040,k&k vers fruit
1330000,"diepvries aardappels, groenten en fruit"
1330500,diepvries aardappelproducten
1330505,frites
1330510,overige enkelvoudige aardappelproducten
1331000,groenteproducten
1331005,enkelvoudige en samengestelde groenten
1331010,soepgroenten
1331015,kruiden
1331020,fruit en vruchtenmelange
1400000,"vlees, wild en gevogelte"
1410000,"houdbaar vlees, wild en gevogelte"
1410500,vleesconserven
1410505,vleesconserven glas
1410510,vleesconserven blik
1410515,vlees in folie/plastic pakken
1410520,rookworst verpakt
1410525,vacuum kip
1410530,vegetarische vleesvervangers
1420000,vers vlees
1420500,vers vlees
1420505,varkensvlees
1420506,varkensvlees panklaar
1420510,rundvlees
1420511,rundvlees panklaar
1420515,paardenvlees
1420520,kalfsvlees
1420525,"lamsvlees, schapenvlees"
1420530,gedraaide vleesproducten
1420535,bgf-pakketten
1420540,overig panklaar vlees
1420545,verse  rookworst
1420550,vegetarische vleesvervangers
1420551,vegetarische vleesvervangers panklaar
1421000,vers gevogelte
1421005,kip
1421006,kip panklaar
1421010,kalkoen
1421011,kalkoen panklaar
1421015,overig gevogelte
1421020,overig panklaar gevogelte
1421500,vers wild
1421505,"haas,konijn"
1421510,overig wild
1430000,"diepvries vlees, wild en gevogelte"
1430500,"diepvries vlees, wild en gevogelte"
1430505,kip en ander gevogelte
1430510,wild
1430515,vlees / toebereid vlees
1430520,vegetarische vleesvervangers
1431000,vleessnacks
1431005,sateh
1431015,"hamburgers, frikadellen"
1431020,"kroketten, bitterballen"
1431025,gevogelte snacks
1431030,diepvries overige snacks / specialiteiten
1500000,vleeswaren en salades
1510000,vleeswarenconserven
1510500,vleeswarenconserven
1510505,vleeswarenconserven
1520000,(semi-) verse vleeswaren en salades
1520500,snijverse vleeswaren
1520505,leverproducten snijvers
1520510,pate's snijvers
1520515,ham snijvers
1520520,rookvlees en rosbief snijvers
1520525,"ribsoort snijvers, speksoort snijvers"
1520530,"kipproducten snijvers, kalkoenproducten snijvers"
1520535,droge en gekookte worst snijvers
1520540,vegetarische vleeswaren snijvers
1521000,verpakte gesneden vleeswaren
1521005,verpakte leverproducten
1521015,verpakte ham
1521020,verpakte rookvlees/rosbief
1521025,verpakte ribsoorten en speksoorten
1521030,verpakte kipproducten en kalkoenproducten
1521035,verpakte droge en gekookte worst
1521040,verpakte vegetarische vleeswaren 
1521500,stuks artikelen
1521505,leverworst
1521510,theeworst
1521515,droge en gekookte worst
1521520,zure zult
1521525,borrelhapjes
